error,category,name,url
HTTP Error 404: Not Found,Applied,neptune-ml/neptune-quick-start,https://github.com/neptune-ml/neptune-quick-start.git
HTTP Error 404: Not Found,Applied,neptune-ml/neptune-quick-start,https://github.com/neptune-ml/neptune-quick-start.git
HTTP Error 404: Not Found,Applied,neptune-ml/neptune-quick-start,https://github.com/neptune-ml/neptune-quick-start.git
HTTP Error 404: Not Found,Applied,neptune-ml/neptune-quick-start,https://github.com/neptune-ml/neptune-quick-start.git
HTTP Error 404: Not Found,Applied,tensorflow-brasil/tutoriais,https://github.com/tensorflow-brasil/tutoriais.git
HTTP Error 404: Not Found,No AI-ML,adtac/autovpn,https://github.com/adtac/autovpn.git
HTTP Error 404: Not Found,Applied,kidden/asr-digits,https://github.com/kidden/asr-digits.git
HTTP Error 404: Not Found,Applied,rmotr/jupyterlab-solutions,https://github.com/rmotr/jupyterlab-solutions.git 
HTTP Error 404: Not Found,No AI-ML,ddevault/pass-rotate,https://github.com/ddevault/pass-rotate.git 
HTTP Error 404: Not Found,No AI-ML,mtdhb/mtdhb,https://github.com/mtdhb/mtdhb.git 
HTTP Error 404: Not Found,No AI-ML,icefox/git-hooks,https://github.com/icefox/git-hooks.git 
HTTP Error 404: Not Found,Applied,tensortask/neuro,https://github.com/tensortask/neuro.git 
HTTP Error 404: Not Found,Applied,AntiCrawlerSolution/AntiCrawlerSolution,https://github.com/AntiCrawlerSolution/AntiCrawlerSolution.git 
HTTP Error 404: Not Found,Tool,rrfaria/binary-option-brainjs,https://github.com/rrfaria/binary-option-brainjs.git 
HTTP Error 404: Not Found,Applied,IBM/Client-Retention-Through-Data-Analysis-On-zOS,https://github.com/IBM/Client-Retention-Through-Data-Analysis-On-zOS.git 
HTTP Error 404: Not Found,Applied,mKausthub/stock-er,https://github.com/mKausthub/stock-er.git 
HTTP Error 404: Not Found,Applied,ukalwa/melanoma-detection-python,https://github.com/ukalwa/melanoma-detection-python.git 
HTTP Error 404: Not Found,Applied,XoriieInpottn/photinia,https://github.com/XoriieInpottn/photinia.git 
HTTP Error 404: Not Found,No AI-ML,HFO4/plus1s.live,https://github.com/HFO4/plus1s.live.git 
HTTP Error 404: Not Found,Applied,OpenMined/AndroidWorker,https://github.com/OpenMined/AndroidWorker.git 
HTTP Error 404: Not Found,Applied,mjbahmani/NLP-Workflow-with-Python,https://github.com/mjbahmani/NLP-Workflow-with-Python.git 
