Devops file?;Filepath;Devops Type; Devops Tool 
Yes;F:\PhD Work\repos\microsoft\ConversationLearner-Models\.travis.yml;Continuous Integration;Travis
Yes;F:\PhD Work\repos\microsoft\ConversationLearner-Models\docs\interfaces\template.html;Deployment automation;AWS Cloud Formation
Yes;F:\PhD Work\repos\microsoft\ConversationLearner-Models\docs\interfaces\templatevariable.html;Deployment automation;AWS Cloud Formation
Yes;F:\PhD Work\repos\microsoft\ConversationLearner-Models\src\Template.ts;Deployment automation;AWS Cloud Formation
Yes;F:\PhD Work\repos\microsoft\frameworkcontroller\build\frameworkbarrier\Dockerfile;Deployment automation;Docker
Yes;F:\PhD Work\repos\microsoft\frameworkcontroller\build\frameworkcontroller\Dockerfile;Deployment automation;Docker
Yes;F:\PhD Work\repos\microsoft\frameworkcontroller\example\framework\scenario\tensorflow\ps\cpu\build\Dockerfile;Deployment automation;Docker
Yes;F:\PhD Work\repos\microsoft\frameworkcontroller\example\framework\scenario\tensorflow\ps\gpu\build\Dockerfile;Deployment automation;Docker
Yes;F:\PhD Work\repos\microsoft\frameworkcontroller\vendor\k8s.io\client-go\.travis.yml;Continuous Integration;Travis
Yes;F:\PhD Work\repos\microsoft\frameworkcontroller\vendor\k8s.io\client-go\examples\in-cluster-client-configuration\Dockerfile;Deployment automation;Docker
Yes;F:\PhD Work\repos\microsoft\frameworkcontroller\vendor\k8s.io\client-go\informers\core\v1\podtemplate.go;Deployment automation;AWS Cloud Formation
Yes;F:\PhD Work\repos\microsoft\frameworkcontroller\vendor\k8s.io\client-go\kubernetes\typed\core\v1\podtemplate.go;Deployment automation;AWS Cloud Formation
Yes;F:\PhD Work\repos\microsoft\frameworkcontroller\vendor\k8s.io\client-go\kubernetes\typed\core\v1\fake\fake_podtemplate.go;Deployment automation;AWS Cloud Formation
Yes;F:\PhD Work\repos\microsoft\frameworkcontroller\vendor\k8s.io\client-go\listers\core\v1\podtemplate.go;Deployment automation;AWS Cloud Formation
Yes;F:\PhD Work\repos\microsoft\CameraTraps\api\batch_processing\api_core\Dockerfile;Deployment automation;Docker
Yes;F:\PhD Work\repos\microsoft\CameraTraps\api\batch_processing\api_core\supervisord.conf;Monitoring and Logging Monitoring and Logging;Logstach Graylog
Yes;F:\PhD Work\repos\microsoft\CameraTraps\api\batch_processing\integration\images\tl_template.jpg;Deployment automation;AWS Cloud Formation
Yes;F:\PhD Work\repos\microsoft\CameraTraps\api\batch_processing\postprocessing\CameraTrapJsonFileProcessingApp\App.config;Monitoring and Logging Monitoring and Logging;Logstach Graylog
Yes;F:\PhD Work\repos\microsoft\CameraTraps\api\batch_processing\postprocessing\CameraTrapJsonFileProcessingApp\packages.config;Monitoring and Logging Monitoring and Logging;Logstach Graylog
Yes;F:\PhD Work\repos\microsoft\CameraTraps\api\synchronous\api_core\Dockerfile;Deployment automation;Docker
Yes;F:\PhD Work\repos\microsoft\CameraTraps\api\synchronous\api_core\supervisord.conf;Monitoring and Logging Monitoring and Logging;Logstach Graylog
Yes;F:\PhD Work\repos\microsoft\CameraTraps\archive\MLDebugTemplate.tdb;Deployment automation;AWS Cloud Formation
Yes;F:\PhD Work\repos\microsoft\CameraTraps\demo\apiconfig_template.py;Deployment automation;AWS Cloud Formation
Yes;F:\PhD Work\repos\microsoft\CameraTraps\detection\detector_training\experiments\benchmark\190904\pipeline_cct-20.config;Monitoring and Logging Monitoring and Logging;Logstach Graylog
Yes;F:\PhD Work\repos\microsoft\CameraTraps\detection\detector_training\experiments\benchmark\190904\pipeline_ss1.config;Monitoring and Logging Monitoring and Logging;Logstach Graylog
Yes;F:\PhD Work\repos\microsoft\CameraTraps\detection\detector_training\experiments\eMammal_animal_human_detector\ssdlite_mobilenetv2_coco_weights\ssdlite_mobilenetv2_coco_weights.config;Monitoring and Logging Monitoring and Logging;Logstach Graylog
Yes;F:\PhD Work\repos\microsoft\CameraTraps\detection\detector_training\experiments\eMammal_animal_human_detector\ssdlite_mobilenetv2_coco_weights\ssdlite_mobilenetv2_coco_weights_eval.config;Monitoring and Logging Monitoring and Logging;Logstach Graylog
Yes;F:\PhD Work\repos\microsoft\CameraTraps\detection\detector_training\experiments\megadetector_v3\190425\pipeline.config;Monitoring and Logging Monitoring and Logging;Logstach Graylog
Yes;F:\PhD Work\repos\microsoft\CameraTraps\detection\detector_training\experiments\megadetector_v3\190726_retinanet\pipeline.config;Monitoring and Logging Monitoring and Logging;Logstach Graylog
